Crop,temperature,Soil_Moisture,Area_in_hectares,Production_in_tons,Crop_Type,N,P,K,pH,rainfall,Yield_ton_per_hec
ragi,25.574,54,684.0,1196.0,rabi,50,40,20,5.36,98.94,1.748538012
wheat,25.574,54,218.0,151.0,rabi,60,30,30,6.7,98.94,0.69266055
cashewnuts,28.99454545,54,18.0,2.0,whole year,70,40,60,5.92,942.8,0.111111111
coriander,28.99454545,54,606.0,298.0,whole year,10,20,20,6.38,942.8,0.491749175
horsegram,28.68,54,80.0,29.0,kharif,20,60,20,6.18,770.44,0.3625
ragi,28.68,54,36.0,46.0,kharif,50,40,20,5.32,770.44,1.277777778
sesamum,28.68,54,2261.0,441.0,kharif,30,15,30,6.58,770.44,0.19504644
sunflower,28.68,54,3966.0,5242.0,kharif,50,60,30,5.5,770.44,1.321734745
horsegram,25.574,54,626.0,207.0,rabi,20,60,20,5.88,98.94,0.330670927
moong,25.574,54,102.0,31.0,rabi,20,40,20,5.42,98.94,0.303921569
rapeseed,25.574,54,5.0,2.0,rabi,50,40,20,4.86,98.94,0.4
sesamum,25.574,54,178.0,34.0,rabi,30,15,30,6.66,98.94,0.191011236
wheat,25.574,54,3888.0,2049.0,rabi,60,30,30,6.4,98.94,0.527006173
banana,28.99454545,54,527.0,2160.0,whole year,100,75,50,6.68,942.8,4.098671727
coriander,28.99454545,54,3880.0,1909.0,whole year,10,20,20,6.56,942.8,0.492010309
potato,28.99454545,54,1014.0,3582.0,whole year,180,60,90,4.82,942.8,3.532544379
jowar,28.68,54,8262.0,2809.0,kharif,80,40,40,5.68,770.44,0.339990317
maize,28.68,54,2233.0,6572.0,kharif,80,40,20,5.68,770.44,2.94312584
sesamum,28.68,54,6205.0,372.0,kharif,30,15,30,6.62,770.44,0.059951652
sunflower,28.68,54,273.0,187.0,kharif,50,60,30,5.5,770.44,0.684981685
horsegram,25.574,54,2275.0,751.0,rabi,20,60,20,6.12,98.94,0.33010989
jowar,25.574,54,9132.0,5927.0,rabi,80,40,40,5.64,98.94,0.649036356
coriander,28.99454545,54,695.0,342.0,whole year,10,20,20,6.34,942.8,0.492086331
jowar,28.68,54,3594.0,2696.0,kharif,80,40,40,5.66,770.44,0.750139121
moong,28.68,54,14177.0,3147.0,kharif,20,40,20,5.64,770.44,0.221979262
ragi,28.68,54,13.0,17.0,kharif,50,40,20,5.46,770.44,1.307692308
sesamum,28.68,54,104.0,20.0,kharif,30,15,30,6.46,770.44,0.192307692
sunflower,28.68,54,3057.0,3729.0,kharif,50,60,30,5.32,770.44,1.219823356
horsegram,25.574,54,22.0,7.0,rabi,20,60,20,6.12,98.94,0.318181818
